epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2798.53,0.0564,0.84332,0.88701,0.66927,0.67703,0.72367,0.72367,0.1403,0.6538,0.19229,0.00738129,0.00738129,0.00738129
43,2861.13,0.05606,0.83764,0.88794,0.62392,0.68323,0.71053,0.70984,0.17237,0.74846,0.23126,0.00731742,0.00731742,0.00731742
44,2923.54,0.05527,0.83982,0.88982,0.68719,0.67961,0.72804,0.72173,0.17046,0.69014,0.26248,0.00725355,0.00725355,0.00725355
45,2986.76,0.05365,0.83181,0.88973,0.58263,0.70946,0.69591,0.68537,0.14787,0.76489,0.19844,0.00718968,0.00718968,0.00718968
46,3049.72,0.05337,0.82707,0.88709,0.63326,0.71006,0.71466,0.71458,0.1521,0.68268,0.21395,0.00712581,0.00712581,0.00712581
47,3112.86,0.05208,0.82012,0.88874,0.70697,0.67944,0.74,0.73936,0.13489,0.66236,0.19604,0.00706194,0.00706194,0.00706194
48,3176.56,0.05211,0.81672,0.88795,0.6582,0.70426,0.7343,0.73381,0.12551,0.64042,0.1692,0.00699806,0.00699806,0.00699806
49,3240.53,0.05087,0.81284,0.88821,0.64594,0.71856,0.74106,0.74103,0.11573,0.61759,0.15753,0.00693419,0.00693419,0.00693419
50,3304.27,0.05126,0.81094,0.88696,0.71999,0.69216,0.76155,0.76155,0.10566,0.60448,0.14942,0.00687032,0.00687032,0.00687032
51,3367.84,0.05068,0.81573,0.88532,0.69808,0.70107,0.74239,0.74232,0.13765,0.64529,0.19094,0.00680645,0.00680645,0.00680645
52,3431,0.04972,0.8033,0.88699,0.7108,0.70352,0.75045,0.74937,0.15882,0.65212,0.22218,0.00674258,0.00674258,0.00674258
53,3494.99,0.05197,0.80432,0.89037,0.64626,0.71062,0.73736,0.73653,0.17464,0.67875,0.2364,0.00667871,0.00667871,0.00667871
54,3559.04,0.04751,0.79012,0.88854,0.7229,0.65852,0.74573,0.74573,0.13673,0.63666,0.18681,0.00661484,0.00661484,0.00661484
55,3623.11,0.04795,0.79701,0.8892,0.66646,0.73273,0.7488,0.74874,0.14678,0.64622,0.19669,0.00655097,0.00655097,0.00655097
56,3687.61,0.04871,0.79557,0.88591,0.72649,0.68328,0.7712,0.77115,0.12851,0.60791,0.1849,0.0064871,0.0064871,0.0064871
57,3751.74,0.04786,0.7894,0.88486,0.73526,0.69625,0.76336,0.76336,0.13701,0.6325,0.18306,0.00642323,0.00642323,0.00642323
58,3815.91,inf,0.7977,0.88789,0.65888,0.73885,0.75862,0.75861,0.15784,0.64583,0.20907,0.00635935,0.00635935,0.00635935
59,3879.99,inf,0.77585,0.8868,0.68901,0.7067,0.7637,0.7637,0.16032,0.67512,0.21104,0.00629548,0.00629548,0.00629548
60,3944.07,0.04751,0.78258,0.88543,0.70984,0.69189,0.7612,0.7611,0.12453,0.63231,0.16806,0.00623161,0.00623161,0.00623161
